codice_regione,denominazione_regione,population,area
1,Piemonte,4346954,"25387,07"
2,Valle d'Aosta,125300,"3260,9"
3,Lombardia,10088484,"23863,65"
5,Veneto,4909013,"18407,42"
6,Friuli Venezia Giulia,1211084,"7862,3"
7,Liguria,1544715,"5416,21"
8,Emilia-Romagna,4469568,"22452,78"
9,Toscana,3727021,"22987,04"
10,Umbria,878540,"8464,33"
11,Marche,1518796,"9401,38"
12,Lazio,5863785,"17232,29"
13,Abruzzo,1304970,"10831,84"
14,Molise,302714,"4460,65"
15,Campania,5772625,"13670,95"
16,Puglia,4008770,"19540,9"
17,Basilicata,558033,"10073,32"
18,Calabria,1934310,"15221,9"
19,Sicilia,4966798,"25832,39"
20,Sardegna,1631346,"24100,02"
21,P.A. Bolzano,533373,"7399,92"
22,P.A. Trento,542323,"6206,9"
